Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бездітко,Анастасія,Павлівна,Жіноча,1951-09-29,Петрограф,село Хуст,"парк Крутоярська, буд. 520 кв. 644, Кам'янське, 66426",+380 09 785-57-43,darahansymon@example.org
Девдюк,Августин,Іванович,Чоловіча,1996-10-28,Круп'є,село Белз,"сквер Балтська дорога, буд. 43 кв. 0, Залізне, 96972",+380 11 654-42-48,hoholieva@example.net
Конопленко,Азар,Іванович,Чоловіча,1957-11-12,Секретар,селище Перемишляни,"парк Краснослобідський, буд. 05 кв. 52, Баштанка, 42628",+380 05 416-60-54,iaremkozlatoslava@example.net
Комар,Валентина,Вікторівна,Жіноча,1968-11-23,Фармацевт,село Волочиськ,"узвіз Восьмого Березня Лінія 5-та, буд. 827, Федорівка, 24025",+380 96 202-87-78,hannachala@example.net
Савенко,Левко,Дмитрович,Чоловіча,1997-02-02,Модель,село Перещепине,"набережна Горіхова, буд. 16, Зоринськ, 47164",082 795 17 35,tsushkokamilla@example.com
Засенко,Богуслава,Миколаївна,Жіноча,1986-09-18,Няня,місто Кременчук,"парк Тещин міст, буд. 5 кв. 12, Чугуїв, 89201",+380 86 590-84-22,khudobiakvitalii@example.net
Їжак,Євген,Петрович,Чоловіча,1987-07-15,Піаніст,хутір Луганськ,"площа Амундсена, 3-й, буд. 820 кв. 990, Залізне, 25397",574-21-97,stefan46@example.net
Деревʼянко,Герман,Андрійович,Чоловіча,1961-10-12,Хімік,хутір Кам'янка-Бузька,"провулок Ламаний, буд. 3 кв. 529, Кременчук, 26944",+380 92 467 09 59,vasylevychkhoma@example.com
Їжакевич,Марта,Олегівна,Жіноча,1974-08-30,Юрист,хутір Олешки,"парк Амурська, буд. 491, Кам'янське, 84324",275-14-67,hukspas@example.com
Акуленко,Орест,Володимирович,Чоловіча,1950-11-03,Нотаріус,місто Андрушівка,"площа Головківська, буд. 38, Кременець, 63519",055 795-83-51,crudyk@example.net
Пушкар,Сніжана,Петрівна,Жіноча,1972-04-27,Палеонтолог,хутір Камінь-Каширський,"узвіз Крутоярська, буд. 771 кв. 12, Одеса, 05953",028 143-07-38,ushcherbak@example.net
Комар,Давид,Сергійович,Чоловіча,1958-05-14,Історик,селище Чуднів,"провулок Бітумна, буд. 89 кв. 12, Тисмениця, 81247",+380 49 160-96-31,devdiukkhrystyna@example.net
Ящук,Анастасія,Вікторівна,Жіноча,1970-07-28,Швачка,селище Енергодар,"площа Літній, буд. 9 кв. 8, Нововолинськ, 65360",025 169-19-57,danyliukmarusia@example.org
Забарна,Данна,Вікторівна,Жіноча,1999-08-04,Історик,хутір Новогродівка,"шосе Травневий 1-й, буд. 39, Славута, 77138",+380 87 135 95 61,samoilenkokhrystyna@example.org
Зубко,Ярослава,Степанівна,Жіноча,1953-08-22,Фрілансер,село Решетилівка,"вулиця Шоста, буд. 98, Олександрія, 46738",+380 60 867-97-92,hvenhrynovych@example.com
Дуплій,Віра,Василівна,Жіноча,1983-10-10,Гірничий інженер,місто Барвінкове,"площа Студентський 2-й, буд. 6 кв. 42, Апостолове, 64057",+380 (86) 219-31-72,shevchenkoprokhir@example.com
Баран,Павло,Вікторович,Чоловіча,1999-01-29,Мінералог,селище Броди,"сквер Політкаторжан, буд. 821 кв. 3, Прип'ять , 20124",628-69-56,fedirfastenko@example.net
Каденюк,Богданна,Миколаївна,Жіноча,1994-09-16,Локсмайстер,селище Красилів,"сквер Морехідний, буд. 5 кв. 24, Нетішин, 56345",046 288 27 17,liurchenko@example.net
Швачко,Артем,Вікторович,Чоловіча,1980-06-19,Складальник,хутір Новий Розділ,"узвіз Кустанайський 2-й, буд. 3, Верхівцеве, 98363",021 658-18-69,czharko@example.com
Чередник,Тереза,Богданівна,Жіноча,1977-04-24,Пекар,хутір Харків,"проспект Скрипковий, буд. 652 кв. 933, Генічеськ, 34197",051 137-09-45,yprymachenko@example.org
Юрчишин,Олена,Павлівна,Жіноча,1952-09-05,Перекладач,хутір Біляївка,"парк Кримська, буд. 43, Комарно, 45707",041 24 69,oleksandrtykhyi@example.net
Христич,Віра,Юріївна,Жіноча,1942-04-03,Географ,село Тростянець,"сквер Цимлянська, буд. 77, Феодосія, 66774",055 642-10-16,khmaravasyl@example.com
Матвієнко,Анжела,Павлівна,Жіноча,1993-12-14,Бізнесмен,село Вугледар,"набережна Макова, буд. 4 кв. 91, Алушта, 89133",+380 29 254-47-38,hannakybkalo@example.com
Дзиндра,Христина,Петрівна,Жіноча,1957-06-30,Драматург,хутір Мена ,"провулок Чорноморський 4-й, буд. 40 кв. 358, Балта, 89291",+380 27 954 07 22,romanetsartem@example.org
Кабаненко,Мирослав,Євгенович,Чоловіча,1966-04-30,Електромонтажник,хутір Ровеньки,"сквер Злакова, буд. 1, Золотоноша, 82016",238-54-87,npustovit@example.net
Гречаник,Спас,Михайлович,Чоловіча,1980-06-17,Кіноактор,місто Сторожинець,"парк Грузинська, буд. 525, Старий Крим, 44879",977-25-66,pavlykavrelii@example.org
Парасюк,Орест,Степанович,Чоловіча,1967-09-07,Письменник,село Олександрія,"узвіз Стовпова, буд. 0, Полонне, 69259",+380 25 368-08-74,semen87@example.com
Височан,Леопольд,Іванович,Чоловіча,1965-02-12,Музикант,селище Ямпіль,"узвіз Одарія, буд. 7, Рудки, 89511",806-23-17,jkylymnyk@example.org
Аверченко,Єлисавета,Дмитрівна,Жіноча,1956-02-18,Живописець,село Миколаїв,"провулок Марата 1-й, буд. 97, Мирноград, 15242",+380 82 764-30-43,halynatkach@example.org
Теличенко,Макар,Георгійович,Чоловіча,1950-08-26,Паблік рилейшнз,хутір Комарно,"площа Абрикосовий, буд. 28 кв. 18, Ананьїв, 87681",078 64 46,oleksandrsymonenko@example.net
Єрченко,Тарас,Богданович,Чоловіча,1997-07-31,Детектив,місто Дубляни,"сквер Грецька, буд. 64, Рожище, 65205",+380 (36) 647-07-39,fesenkosolomon@example.org
Оніщук,Едита,Юріївна,Жіноча,1943-12-09,Археолог,місто Жидачів,"площа Сумська, буд. 88 кв. 0, Олександрія, 33456",+380 72 777-36-00,matviienkoveniiamyn@example.com
Теличенко,Юстина,Олегівна,Жіноча,1958-05-29,Гицель,село Устилуг,"площа Травневий 1-й, буд. 341, Зугрес, 29857",+380 47 371-79-77,valentyn73@example.com
Бандура,Юстина,Павлівна,Жіноча,1961-12-04,Астрофізик,хутір Лозова ,"площа Балтський 2-й, буд. 5, Заліщики, 97131",+380 36 788-37-25,qtryhub@example.org
Бабенко,Соломон,Георгійович,Чоловіча,1958-10-13,Головний меркшейдер,місто Золоте,"узвіз Дачна, буд. 674 кв. 23, Перевальськ, 97869",560 84 50,snizhanatsymbaliuk@example.org
Авраменко,Богуслава,Богданівна,Жіноча,1955-08-02,Режисер,місто Гайсин,"проспект Окружна, буд. 991 кв. 413, Верхівцеве, 11641",003 686-12-11,rozaliiaierchenko@example.net
Чередник,Назар,Георгійович,Чоловіча,1965-12-07,Стропальник,селище Заставна,"площа Скляна, буд. 1, Ялта, 52127",162-57-42,oksanatverdokhlib@example.net
Бабич,Адам,Богданович,Чоловіча,1955-04-09,Юрист,місто Іллінці,"сквер Чернівецький, буд. 185, Глиняни, 07315",095 341 19 19,fshcherban@example.net
Чала,Любов,Дмитрівна,Жіноча,1986-08-19,Гицель,хутір Прип'ять ,"парк Віцеадмірала Азарова, буд. 53, Сєвєродонецьк, 15465",059 432-39-99,solomon06@example.net
Фартушняк,Валерій,Петрович,Чоловіча,1996-06-22,Геолог,хутір Виноградів,"сквер 7-ма Суворовська, буд. 69 кв. 73, Южноукраїнськ, 25216",+380 19 007-18-74,qkomar@example.com
Гречаник,Йосип,Михайлович,Чоловіча,1978-01-26,Кінорежисер,селище Трускавець,"площа Комітетська, буд. 8 кв. 916, Гадяч, 15313",+380 59 823-20-80,milenariabovil@example.org
